wrong_zipcode,Issue Repo,Latitude,Longitude,correct_zipcode
78741,Traffic Hazard,30.201332,-97.77585,78745
78741,Crash Urgent,30.193059,-97.768245,78744
78729,Crash Urgent,30.457282,-97.808537,78750
78712,Crash Urgent,30.305956,-97.707488,78723
78712,Crash Urgent,30.267348,-97.745703,78701
78712,Traffic Hazard,30.258012,-97.724202,78702
78757,Crash Service,30.367359,-97.718149,78758
78729,Crash Urgent,30.451098,-97.820695,78750
78741,Crash Service,30.200385,-97.762,78744
78752,Traffic Hazard,30.387458,-97.649106,78753
78741,Crash Service,30.188561,-97.771355,78744
78751,Crash Service,30.349147,-97.696442,78753
78757,Crash Service,30.37351,-97.727805,78757
78748,Crash Service,30.157594,-97.789847,78744
78728,COLLISION,30.453384,-97.665679,78660
78712,Crash Urgent,30.249835,-97.738804,78704
78712,Traffic Hazard,30.256916,-97.727074,78702
78742,TRFC HAZD/ DEBRIS,30.274273,-97.508437,78653
78730,Traffic Hazard,30.392105,-97.83223,78730
78751,Traffic Hazard,30.353034,-97.697797,78753
78745,Crash Urgent,30.214388,-97.795003,78745
78728,COLLISN/ LVNG SCN,30.468125,-97.670163,78728
78712,Crash Urgent,30.266534,-97.733731,78702
78712,Crash Urgent,30.266577,-97.733869,78702
78749,TRFC HAZD/ DEBRIS,30.233073,-97.926508,78736
78712,Crash Service,30.279954,-97.721265,78722
78724,COLLISION,30.188517,-97.518427,78612
78712,Crash Urgent,30.239109,-97.737867,78741
78712,Crash Urgent,30.246385,-97.756457,78704
78712,Crash Urgent,30.246564,-97.756339,78704
78749,Crash Urgent,30.20877,-97.88931,78749
78742,LOOSE LIVESTOCK,30.182718,-97.541204,78617
78712,Traffic Hazard,30.268083,-97.758617,78703
78754,TRFC HAZD/ DEBRIS,30.348861,-97.555963,78653
78728,Traffic Hazard,30.424757,-97.713578,78727
78712,Traffic Hazard,30.281821,-97.708529,78702
78712,Crash Urgent,30.303222,-97.701811,78723
78728,TRFC HAZD/ DEBRIS,30.429041,-97.641223,78660
78712,Crash Service,30.303624,-97.715981,78751
78703,Traffic Hazard,30.252517,-97.805574,78746
78712,Crash Urgent,30.268823,-97.734135,78701
78742,Crash Urgent,30.237461,-97.686956,78741
78712,Traffic Hazard,30.238242,-97.738654,78704
78701,Traffic Hazard,30.232684,-97.799362,78745
78712,Crash Service,30.267725,-97.734299,78701
78712,Crash Urgent,30.304216,-97.715949,78751
78733,COLLISION,30.357329,-97.906886,78732
78742,zSTALLED VEHICLE,30.234281,-97.684838,78742
78748,Crash Urgent,30.176586,-97.833995,78748
78712,Crash Urgent,30.300476,-97.712943,78722
78729,Crash Service,30.458035,-97.823112,78750
78712,Crash Service,30.279806,-97.721237,78702
78756,Traffic Hazard,30.358568,-97.74079,78757
78712,Crash Service,30.260567,-97.734617,78702
78733,TRFC HAZD/ DEBRIS,30.286493,-97.874876,78735
78745,Crash Urgent,30.197637,-97.808882,78745
78739,Traffic Hazard,30.158302,-97.85995,78748
