Camera ID,Location Name,Camera Status,Turn on Date,Camera Manufacturer,ATD Location ID,Landmark,Signal Engineer Area,Council District,Jurisdiction,Location Type,Primary St Segment ID,Cross St Segment ID,Primary Street Block,Primary Street,PRIMARY_ST_AKA,Cross Street Block,Cross Street,CROSS_ST_AKA,COA Intersection ID,Modified Date,Location,IP Comm Status,IP Comm Status Date and Time,Longitude,Latitude,Published Screenshots,Screenshot Address,Funding
154, RIVERSIDE DR / 35 SVRD,TURNED_ON,,Sarix,LOC16-001885,,SOUTHWEST,9,AUSTIN FULL PURPOSE,ROADWAY,,,1300, RIVERSIDE DR,,1101,IH 35 SVRD,,5158305,11/19/2018 09:15:00 PM +0000,"(30.2478428, -97.7348862)",ONLINE,08/25/2018 08:30:00 AM +0000,-97.7348862,30.2478428,,http://162.89.13.145/CCTVImages/CCTV154.jpg,None Identified
202, BURLESON RD / MC KINNEY FALLS PKWY,TURNED_ON,,Sarix,LOC16-002725,,SOUTHEAST,2,AUSTIN FULL PURPOSE,ROADWAY,,,7508, BURLESON RD,,4121, MC KINNEY FALLS PKWY,,5162528,11/19/2018 09:15:00 PM +0000,"(30.1919994, -97.6983871)",ONLINE,01/09/2018 03:32:00 AM +0000,-97.6983871,30.1919994,,http://162.89.13.145/CCTVImages/CCTV202.jpg,
396, 45TH ST / SPEEDWAY ,TURNED_ON,,Advidia,LOC16-000300,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,100, 45TH ST,,4400, SPEEDWAY ,,5158939,11/19/2018 09:15:00 PM +0000,"(30.3086319, -97.7283936)",ONLINE,06/01/2018 08:30:00 AM +0000,-97.7283936,30.3086319,,http://162.89.13.145/CCTVImages/CCTV396.jpg,1/4 Cent
2, AIRPORT BLVD / OAK SPRINGS DR,TURNED_ON,11/08/2016,Spectra Enhanced,LOC16-000805,,NORTHEAST,"3,1",AUSTIN FULL PURPOSE,ROADWAY,,,1137, AIRPORT BLVD,,3300, OAK SPRINGS DR,,5162329,11/19/2018 09:15:00 PM +0000,"(30.2735558, -97.6979065)",ONLINE,01/09/2018 03:31:00 AM +0000,-97.6979065,30.2735558,,http://162.89.13.145/CCTVImages/CCTV2.jpg,
1,"830 BLK W RUNDBERG LN (Little Walnut Creek Library, HEB)",TURNED_ON,11/18/2016,Sarix,LOC16-005090,"Little Walnut Creek Library, HEB",NORTHEAST,4,AUSTIN FULL PURPOSE,BUILDING,,,830, RUNDBERG LN,,,  ,,,01/01/2019 09:45:00 AM +0000,"(30.3636856, -97.6981583)",ONLINE,01/01/2019 09:35:00 AM +0000,-97.6981583,30.3636856,,http://162.89.13.145/CCTVImages/CCTV1.jpg,None Identified
5, MARTIN LUTHER KING JR BLVD / RIO GRANDE ST,TURNED_ON,11/18/2016,Sarix,LOC16-000095,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,700, MARTIN LUTHER KING JR BLVD,,1800, RIO GRANDE ST,,5156606,03/27/2019 08:45:00 AM +0000,"(30.2825451, -97.7448349)",ONLINE,03/27/2019 08:35:00 AM +0000,-97.7448349,30.2825451,,http://162.89.13.145/CCTVImages/CCTV5.jpg,None Identified
3, STAKED PLAINS DR / LAKELINE BLVD,TURNED_ON,12/20/2016,Advidia,LOC16-004915,,NORTHWEST,6,AUSTIN FULL PURPOSE,ROADWAY,,,10001, STAKED PLAINS DR,,10001, LAKELINE BLVD,,5150747,03/30/2019 08:40:00 AM +0000,"(30.4819565, -97.7895737)",ONLINE,03/30/2019 08:30:00 AM +0000,-97.7895737,30.4819565,,http://162.89.13.145/CCTVImages/CCTV3.jpg,None Identified
4, 35TH ST / PECOS ST,TURNED_ON,11/30/2016,Spectra Enhanced,LOC16-003630,,CENTRAL,10,AUSTIN FULL PURPOSE,ROADWAY,,,3100, 35TH ST,,3400, PECOS ST,,5153473,03/30/2019 08:40:00 AM +0000,"(30.31354, -97.76716)",ONLINE,03/30/2019 08:30:00 AM +0000,-97.76716,30.31354,,http://162.89.13.145/CCTVImages/CCTV4.jpg,None Identified
29,SH 71  / ROSS RD,TURNED_ON,,Sarix,LOC16-007030,,SOUTHEAST,,AUSTIN 2 MILE ETJ,ROADWAY,,,4436,SH 71 ,,4501, ROSS RD,,5168587,12/16/2018 09:45:00 AM +0000,"(30.186287, -97.609533)",OFFLINE,12/16/2018 09:35:00 AM +0000,-97.609533,30.186287,,http://162.89.13.145/CCTVImages/CCTV29.jpg,
20, BURNET RD / PALM WAY (IBM DRIVEWAY),TURNED_ON,11/16/2016,Spectra Enhanced,LOC16-002270,IBM DRIVEWAY,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,11700, BURNET RD,,2901, PALM WAY,,5159845,01/01/2019 09:45:00 AM +0000,"(30.4022865, -97.7176056)",ONLINE,01/01/2019 09:35:00 AM +0000,-97.7176056,30.4022865,,http://162.89.13.145/CCTVImages/CCTV20.jpg,
