,beer_receipts,liquor_receipts,total_receipts,wine_receipts,Population below poverty level,Median household income,"Non-White, Non-Hispanic or Latino","Hispanic or Latino, of any race",Population with disability,Unemployment,Large households (5+ members),"Homes affordable to people earning less than $50,000","Rentals affordable to people earning less than $25,000",Rent-restricted units,Housing Choice Voucher holders,Median rent,Median home value,Percentage of rental units in poor condition,"Percent change in number of housing units, 2000-2012",Owner units affordable to average retail/service worker,Rental units affordable to average retail/service worker,Rental units affordable to average artist,Owner units affordable to average artist,Rental units affordable to average teacher,Owner units affordable to average teacher,Rental units affordable to average tech worker,Owner units affordable to average tech worker,"Change in percentage of population below poverty, 2000-2012","Change in median rent, 2000-2012","Change in median home value, 2000-2012",Percentage of homes within 1/4-mi of transit stop,Average monthly transportation cost,Percentage of housing and transportation costs that is transportation-related,I-MF-Tot.Gallons,I-R-Tot.Gallons,MF-Tot.Gallons,R-Tot.Gallons,Score,index,zipcode,FATAL/INJURY_ACC,COLLISION_ACC,OTHER_ACC,CAR/TRAFFIC_ACC
0,497341.0,1153365.0,1981024.0,329213.0,20.0,68152.0,16.0,14.0,10.0,9.0,0.0,7.0,7.0,9.0,0.0,1590.0,338300.0,0.8,134.0,0.0,7.0,12.0,1.0,29.0,7.0,90.0,30.0,12.0,115.0,59.0,97.0,433.0,23.0,55624400.0,1701300.0,1183287200.0,87044500.0,90.0,27,78701,0.0,4.0,0.0,4.0
1,22579.0,34887.0,58493.0,1027.0,33.0,34734.0,18.0,56.0,14.0,11.0,10.0,21.0,41.0,39.0,2.0,766.0,175400.0,2.2,15.0,0.0,39.0,51.0,2.0,80.0,15.0,99.0,67.0,3.0,73.0,207.0,96.0,590.0,39.0,73113700.0,1726900.0,859697500.0,2131048100.0,93.0,28,78702,0.0,4.0,0.0,0.0
2,13441.0,11123.0,24762.0,198.0,10.0,92606.0,9.0,9.0,6.0,4.0,4.0,3.0,11.0,0.0,0.0,1183.0,621900.0,0.4,1.0,0.0,8.0,25.0,0.0,51.0,2.0,92.0,13.0,7.0,65.0,104.0,67.0,629.0,25.0,52315000.0,96179200.0,1023734200.0,4508655200.0,92.0,29,78703,0.0,0.0,0.0,0.0
3,190835.0,409501.0,666393.0,66057.0,21.0,50248.0,7.0,30.0,9.0,7.0,3.0,13.0,12.0,13.0,1.0,940.0,338200.0,0.4,9.0,0.0,11.0,26.0,2.0,76.0,13.0,99.0,33.0,33.0,40.0,126.0,76.0,629.0,33.0,220826800.0,16216600.0,4076119600.0,3882102400.0,93.0,30,78704,0.0,5.0,1.0,2.0
4,63850.0,204488.0,310839.0,42501.0,66.0,11917.0,21.0,17.0,4.0,14.0,2.0,39.0,8.0,1.0,0.0,1088.0,292500.0,0.3,2.0,1.0,6.0,23.0,10.0,57.0,38.0,94.0,79.0,49.0,70.0,40.0,100.0,511.0,30.0,45863400.0,6587900.0,2822581200.0,808328100.0,92.0,31,78705,0.0,2.0,0.0,0.0
5,29320.0,18604.0,53304.0,5380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37480000.0,132083400.0,90.0,34,78719,1.0,398.0,214.0,291.0
6,17785.0,32255.0,54058.0,4018.0,19.0,44917.0,18.0,19.0,11.0,8.0,3.0,7.0,11.0,12.0,1.0,930.0,265100.0,0.9,6.0,0.0,8.0,31.0,1.0,65.0,6.0,97.0,37.0,8.0,40.0,127.0,98.0,590.0,33.0,11717300.0,35900.0,234629400.0,724725800.0,93.0,36,78722,0.0,1.0,0.0,0.0
7,1590.0,11458.0,37583.0,24535.0,29.0,41869.0,27.0,46.0,10.0,10.0,13.0,33.0,22.0,20.0,7.0,817.0,176500.0,1.3,13.0,1.0,18.0,44.0,4.0,82.0,28.0,99.0,83.0,49.0,28.0,107.0,84.0,668.0,43.0,19508000.0,380500.0,1816301600.0,2853965000.0,94.0,37,78723,0.0,5.0,0.0,1.0
8,24585.0,61223.0,86642.0,834.0,8.0,57358.0,22.0,17.0,7.0,7.0,7.0,26.0,3.0,0.0,0.0,1008.0,192300.0,0.1,28.0,0.0,2.0,17.0,1.0,73.0,22.0,100.0,96.0,116.0,12.0,43.0,13.0,747.0,37.0,250510600.0,707200.0,1793771500.0,1941038100.0,93.0,43,78729,0.0,64.0,0.0,25.0
9,9496.0,9607.0,51919.0,32816.0,9.0,78265.0,12.0,9.0,8.0,4.0,2.0,13.0,4.0,0.0,0.0,1016.0,436800.0,0.5,8.0,0.0,2.0,24.0,2.0,67.0,12.0,97.0,26.0,26.0,31.0,68.0,44.0,747.0,32.0,66153700.0,40590600.0,1411850800.0,5482435500.0,93.0,45,78731,0.0,11.0,0.0,3.0
