,ZipCode,Issue Reported,Longitude,Status Date
4,78741,Traffic Hazard,-97.77585,03/09/2019 03:15:04 PM +0000
6,78741,Crash Urgent,-97.768245,03/09/2019 04:15:04 PM +0000
57,78729,Crash Urgent,-97.808537,03/09/2019 04:30:05 PM +0000
58,78712,Crash Urgent,-97.707488,03/09/2019 04:40:05 PM +0000
136,78712,Crash Urgent,-97.745703,03/09/2019 05:30:05 PM +0000
192,78712,Traffic Hazard,-97.724202,03/09/2019 04:15:04 PM +0000
193,78757,Crash Service,-97.718149,03/09/2019 04:20:04 PM +0000
218,78729,Crash Urgent,-97.820695,03/09/2019 04:20:04 PM +0000
247,78741,Crash Service,-97.762,03/09/2019 04:15:04 PM +0000
269,78752,Traffic Hazard,-97.649106,03/09/2019 03:45:04 PM +0000
299,78741,Crash Service,-97.771355,03/09/2019 04:35:04 PM +0000
329,78751,Crash Service,-97.696442,03/09/2019 05:15:05 PM +0000
459,78757,Crash Service,-97.727805,03/09/2019 04:05:04 PM +0000
544,78748,Crash Service,-97.789847,03/09/2019 04:05:04 PM +0000
655,78728,COLLISION,-97.665679,03/09/2019 04:10:04 PM +0000
659,78712,Crash Urgent,-97.738804,03/09/2019 04:10:04 PM +0000
704,78712,Traffic Hazard,-97.727074,03/09/2019 04:55:04 PM +0000
738,78742,TRFC HAZD/ DEBRIS,-97.508437,03/09/2019 04:45:05 PM +0000
739,78730,Traffic Hazard,-97.83223000000001,03/09/2019 05:10:04 PM +0000
1077,78751,Traffic Hazard,-97.697797,03/09/2019 04:55:04 PM +0000
1079,78745,Crash Urgent,-97.79500300000001,03/09/2019 05:15:05 PM +0000
1080,78728,COLLISN/ LVNG SCN,-97.670163,03/09/2019 05:30:05 PM +0000
1176,78712,Crash Urgent,-97.733731,03/09/2019 05:05:04 PM +0000
1177,78712,Crash Urgent,-97.733869,03/09/2019 05:10:04 PM +0000
1205,78749,TRFC HAZD/ DEBRIS,-97.926508,03/09/2019 05:15:05 PM +0000
1206,78712,Crash Service,-97.721265,03/09/2019 05:45:04 PM +0000
1225,78724,COLLISION,-97.518427,03/09/2019 05:40:04 PM +0000
1248,78712,Crash Urgent,-97.73786700000001,03/09/2019 05:25:04 PM +0000
1249,78712,Crash Urgent,-97.756457,03/09/2019 05:45:04 PM +0000
1250,78712,Crash Urgent,-97.756339,03/09/2019 06:50:05 PM +0000
1264,78749,Crash Urgent,-97.88931,03/09/2019 06:25:04 PM +0000
1286,78742,LOOSE LIVESTOCK,-97.54120400000001,03/09/2019 05:55:03 PM +0000
1288,78712,Traffic Hazard,-97.758617,03/09/2019 07:35:05 PM +0000
1301,78754,TRFC HAZD/ DEBRIS,-97.555963,03/09/2019 05:50:05 PM +0000
1321,78728,Traffic Hazard,-97.713578,03/09/2019 06:15:05 PM +0000
1323,78712,Traffic Hazard,-97.708529,03/09/2019 06:30:06 PM +0000
1324,78712,Crash Urgent,-97.70181099999999,03/09/2019 07:55:03 PM +0000
1343,78728,TRFC HAZD/ DEBRIS,-97.641223,03/09/2019 06:05:04 PM +0000
1371,78712,Crash Service,-97.715981,03/09/2019 06:30:06 PM +0000
1372,78703,Traffic Hazard,-97.805574,03/09/2019 07:35:05 PM +0000
1396,78712,Crash Urgent,-97.734135,03/09/2019 06:20:04 PM +0000
1397,78742,Crash Urgent,-97.68695600000001,03/09/2019 06:30:06 PM +0000
1445,78712,Traffic Hazard,-97.738654,03/09/2019 06:20:04 PM +0000
1446,78701,Traffic Hazard,-97.799362,03/09/2019 06:35:04 PM +0000
1447,78712,Crash Service,-97.734299,03/09/2019 07:40:04 PM +0000
1497,78712,Crash Urgent,-97.715949,03/09/2019 07:55:03 PM +0000
1553,78733,COLLISION,-97.906886,03/09/2019 06:45:04 PM +0000
